EC number	KEGG pathway(s)
2.3.1.12	Glycolysis / Gluconeogenesis; Citrate cycle (TCA cycle); Pyruvate metabolism; Biosynthesis of secondary metabolites; Biosynthesis of antibiotics
2.7.1.1	Glycolysis / Gluconeogenesis; Fructose and mannose metabolism; Galactose metabolism; Starch and sucrose metabolism; Biosynthesis of secondary metabolites; Biosynthesis of antibiotics
2.7.1.11	Glycolysis / Gluconeogenesis; Pentose phosphate pathway; Fructose and mannose metabolism; Galactose metabolism; Biosynthesis of secondary metabolites; Biosynthesis of antibiotics
2.7.1.146	Glycolysis / Gluconeogenesis; Pentose phosphate pathway; Biosynthesis of secondary metabolites; Biosynthesis of antibiotics
2.7.1.147	Glycolysis / Gluconeogenesis; Biosynthesis of secondary metabolites; Biosynthesis of antibiotics
2.7.1.2	Glycolysis / Gluconeogenesis; Galactose metabolism; Starch and sucrose metabolism; Biosynthesis of secondary metabolites; Biosynthesis of antibiotics
2.7.1.40	Glycolysis / Gluconeogenesis; Purine metabolism; Pyruvate metabolism; Biosynthesis of secondary metabolites; Biosynthesis of antibiotics
2.7.1.41	Glycolysis / Gluconeogenesis; Starch and sucrose metabolism
2.7.1.63	Glycolysis / Gluconeogenesis; Biosynthesis of secondary metabolites; Biosynthesis of antibiotics
2.7.1.69	Glycolysis / Gluconeogenesis; Pentose phosphate pathway; Fructose and mannose metabolism; Galactose metabolism; Ascorbate and aldarate metabolism; Starch and sucrose metabolism
2.7.2.3	Glycolysis / Gluconeogenesis; Biosynthesis of secondary metabolites; Biosynthesis of antibiotics
3.1.3.10	Glycolysis / Gluconeogenesis
3.1.3.11	Glycolysis / Gluconeogenesis; Pentose phosphate pathway; Fructose and mannose metabolism; Biosynthesis of secondary metabolites; Biosynthesis of antibiotics
3.1.3.13	Glycolysis / Gluconeogenesis
3.1.3.80	Glycolysis / Gluconeogenesis
3.1.3.9	Glycolysis / Gluconeogenesis; Galactose metabolism; Starch and sucrose metabolism
3.2.1.86	Glycolysis / Gluconeogenesis
4.1.1.1	Glycolysis / Gluconeogenesis; Biosynthesis of secondary metabolites; Biosynthesis of antibiotics
4.1.1.32	Glycolysis / Gluconeogenesis; Citrate cycle (TCA cycle); Pyruvate metabolism; Biosynthesis of secondary metabolites; Biosynthesis of antibiotics
4.1.1.49	Glycolysis / Gluconeogenesis; Citrate cycle (TCA cycle); Pyruvate metabolism; Biosynthesis of secondary metabolites; Biosynthesis of antibiotics
4.1.2.13	Glycolysis / Gluconeogenesis; Pentose phosphate pathway; Fructose and mannose metabolism; Biosynthesis of secondary metabolites; Biosynthesis of antibiotics
4.2.1.11	Glycolysis / Gluconeogenesis; Biosynthesis of secondary metabolites; Biosynthesis of antibiotics
5.1.3.15	Glycolysis / Gluconeogenesis; Biosynthesis of secondary metabolites; Biosynthesis of antibiotics
5.1.3.3	Glycolysis / Gluconeogenesis; Galactose metabolism; Biosynthesis of secondary metabolites; Biosynthesis of antibiotics
5.3.1.1	Glycolysis / Gluconeogenesis; Fructose and mannose metabolism; Biosynthesis of secondary metabolites; Biosynthesis of antibiotics
5.3.1.9	Glycolysis / Gluconeogenesis; Pentose phosphate pathway; Starch and sucrose metabolism; Biosynthesis of secondary metabolites; Biosynthesis of antibiotics
5.4.2.11	"Glycolysis / Gluconeogenesis; Glycine, serine and threonine metabolism; Biosynthesis of secondary metabolites; Biosynthesis of antibiotics"
5.4.2.12	"Glycolysis / Gluconeogenesis; Glycine, serine and threonine metabolism; Biosynthesis of secondary metabolites; Biosynthesis of antibiotics"
5.4.2.2	Glycolysis / Gluconeogenesis; Pentose phosphate pathway; Galactose metabolism; Purine metabolism; Starch and sucrose metabolism; Biosynthesis of secondary metabolites; Biosynthesis of antibiotics
5.4.2.4	Glycolysis / Gluconeogenesis
6.2.1.1	Glycolysis / Gluconeogenesis; Pyruvate metabolism; Biosynthesis of secondary metabolites; Biosynthesis of antibiotics
6.2.1.13	Glycolysis / Gluconeogenesis; Pyruvate metabolism
1.1.1.286	Citrate cycle (TCA cycle); Lysine biosynthesis; Biosynthesis of secondary metabolites; Biosynthesis of antibiotics
1.1.1.37	Citrate cycle (TCA cycle); Cysteine and methionine metabolism; Pyruvate metabolism; Glyoxylate and dicarboxylate metabolism; Biosynthesis of secondary metabolites; Biosynthesis of antibiotics
1.1.1.41	Citrate cycle (TCA cycle); Biosynthesis of secondary metabolites; Biosynthesis of antibiotics
1.1.1.42	Citrate cycle (TCA cycle); Glutathione metabolism; Biosynthesis of secondary metabolites; Biosynthesis of antibiotics
1.1.5.4	Citrate cycle (TCA cycle); Pyruvate metabolism; Biosynthesis of secondary metabolites; Biosynthesis of antibiotics
1.2.4.2	Citrate cycle (TCA cycle); Lysine degradation; Tryptophan metabolism; Biosynthesis of secondary metabolites; Biosynthesis of antibiotics
1.2.7.3	Citrate cycle (TCA cycle)
1.3.5.1	Citrate cycle (TCA cycle); Oxidative phosphorylation; Biosynthesis of secondary metabolites; Biosynthesis of antibiotics
1.3.5.4	Citrate cycle (TCA cycle); Pyruvate metabolism; Biosynthesis of secondary metabolites; Biosynthesis of antibiotics
2.3.1.61	Citrate cycle (TCA cycle); Lysine degradation; Biosynthesis of secondary metabolites; Biosynthesis of antibiotics
2.3.3.1	Citrate cycle (TCA cycle); Glyoxylate and dicarboxylate metabolism; Biosynthesis of secondary metabolites; Biosynthesis of antibiotics
2.3.3.8	Citrate cycle (TCA cycle); Biosynthesis of secondary metabolites; Biosynthesis of antibiotics
2.8.3.18	Citrate cycle (TCA cycle); Pyruvate metabolism; Biosynthesis of secondary metabolites; Biosynthesis of antibiotics
4.2.1.2	Citrate cycle (TCA cycle); Pyruvate metabolism; Biosynthesis of secondary metabolites; Biosynthesis of antibiotics
4.2.1.3	Citrate cycle (TCA cycle); Glyoxylate and dicarboxylate metabolism; Biosynthesis of secondary metabolites; Biosynthesis of antibiotics
6.2.1.4	Citrate cycle (TCA cycle); Biosynthesis of secondary metabolites; Biosynthesis of antibiotics
6.2.1.5	Citrate cycle (TCA cycle); Biosynthesis of secondary metabolites; Biosynthesis of antibiotics
6.4.1.1	Citrate cycle (TCA cycle); Pyruvate metabolism
1.1.1.215	Pentose phosphate pathway
1.1.1.343	Pentose phosphate pathway; Biosynthesis of secondary metabolites; Biosynthesis of antibiotics
1.1.1.359	Pentose phosphate pathway; Galactose metabolism; Biosynthesis of secondary metabolites; Biosynthesis of antibiotics
1.1.1.360	Pentose phosphate pathway; Galactose metabolism; Biosynthesis of secondary metabolites; Biosynthesis of antibiotics
1.1.1.363	Pentose phosphate pathway; Biosynthesis of secondary metabolites; Biosynthesis of antibiotics
1.1.1.388	Pentose phosphate pathway
1.1.1.43	Pentose phosphate pathway; Glutathione metabolism
1.1.1.44	Pentose phosphate pathway; Glutathione metabolism; Biosynthesis of secondary metabolites; Biosynthesis of antibiotics
1.1.1.47	Pentose phosphate pathway
1.1.1.49	Pentose phosphate pathway; Glutathione metabolism; Biosynthesis of secondary metabolites; Biosynthesis of antibiotics
1.1.3.4	Pentose phosphate pathway
1.1.3.5	Pentose phosphate pathway
1.1.5.2	Pentose phosphate pathway
1.1.5.9	Pentose phosphate pathway; Biosynthesis of secondary metabolites; Biosynthesis of antibiotics
1.1.99.3	Pentose phosphate pathway
1.2.1.89	Pentose phosphate pathway
1.2.7.5	Pentose phosphate pathway
1.2.99.8	Pentose phosphate pathway
2.2.1.1	Pentose phosphate pathway; Biosynthesis of secondary metabolites; Biosynthesis of antibiotics
2.2.1.2	Pentose phosphate pathway; Biosynthesis of secondary metabolites; Biosynthesis of antibiotics
2.7.1.12	Pentose phosphate pathway; Biosynthesis of secondary metabolites; Biosynthesis of antibiotics
2.7.1.13	Pentose phosphate pathway
2.7.1.15	Pentose phosphate pathway
2.7.1.165	"Pentose phosphate pathway; Glycine, serine and threonine metabolism"
2.7.1.178	Pentose phosphate pathway; Galactose metabolism
2.7.1.45	Pentose phosphate pathway
2.7.4.23	Pentose phosphate pathway
2.7.6.1	Pentose phosphate pathway; Purine metabolism; Biosynthesis of secondary metabolites; Biosynthesis of antibiotics
3.1.1.17	Pentose phosphate pathway; Ascorbate and aldarate metabolism; Biosynthesis of secondary metabolites; Biosynthesis of antibiotics
3.1.1.31	Pentose phosphate pathway; Biosynthesis of secondary metabolites; Biosynthesis of antibiotics
4.1.2.14	Pentose phosphate pathway
4.1.2.4	Pentose phosphate pathway
4.1.2.43	Pentose phosphate pathway
4.1.2.51	Pentose phosphate pathway; Galactose metabolism
4.1.2.55	Pentose phosphate pathway; Galactose metabolism
4.1.2.9	Pentose phosphate pathway
4.2.1.12	Pentose phosphate pathway
4.2.1.140	Pentose phosphate pathway; Galactose metabolism
4.2.1.39	Pentose phosphate pathway
4.3.1.29	Pentose phosphate pathway
4.3.1.9	Pentose phosphate pathway
5.1.3.1	Pentose phosphate pathway; Pentose and glucuronate interconversions; Biosynthesis of secondary metabolites; Biosynthesis of antibiotics
5.3.1.27	Pentose phosphate pathway
5.3.1.6	Pentose phosphate pathway; Fructose and mannose metabolism; Biosynthesis of secondary metabolites; Biosynthesis of antibiotics
5.4.2.7	Pentose phosphate pathway; Purine metabolism
1.1.1.-	"Pentose and glucuronate interconversions; Fructose and mannose metabolism; Pyrimidine metabolism; Tetracycline biosynthesis; Phenylalanine, tyrosine and tryptophan biosynthesis"
1.1.1.10	Pentose and glucuronate interconversions
1.1.1.11	Pentose and glucuronate interconversions; Fructose and mannose metabolism
1.1.1.12	Pentose and glucuronate interconversions
1.1.1.125	Pentose and glucuronate interconversions
1.1.1.127	Pentose and glucuronate interconversions
1.1.1.13	Pentose and glucuronate interconversions
1.1.1.130	Pentose and glucuronate interconversions; Ascorbate and aldarate metabolism
1.1.1.137	Pentose and glucuronate interconversions
1.1.1.14	Pentose and glucuronate interconversions; Fructose and mannose metabolism
1.1.1.15	Pentose and glucuronate interconversions; Fructose and mannose metabolism
1.1.1.175	Pentose and glucuronate interconversions
1.1.1.179	Pentose and glucuronate interconversions
1.1.1.19	Pentose and glucuronate interconversions; Ascorbate and aldarate metabolism
1.1.1.21	Pentose and glucuronate interconversions; Fructose and mannose metabolism; Galactose metabolism
1.1.1.22	Pentose and glucuronate interconversions; Ascorbate and aldarate metabolism; Starch and sucrose metabolism
1.1.1.250	Pentose and glucuronate interconversions
1.1.1.287	Pentose and glucuronate interconversions
1.1.1.307	Pentose and glucuronate interconversions
1.1.1.365	Pentose and glucuronate interconversions; Ascorbate and aldarate metabolism
1.1.1.372	Pentose and glucuronate interconversions
1.1.1.380	Pentose and glucuronate interconversions
1.1.1.45	Pentose and glucuronate interconversions
1.1.1.56	Pentose and glucuronate interconversions
1.1.1.57	Pentose and glucuronate interconversions
1.1.1.58	Pentose and glucuronate interconversions
1.1.1.9	Pentose and glucuronate interconversions
1.1.2.2	Pentose and glucuronate interconversions; Fructose and mannose metabolism
2.4.1.17	Pentose and glucuronate interconversions; Ascorbate and aldarate metabolism; Starch and sucrose metabolism
2.7.1.16	Pentose and glucuronate interconversions
2.7.1.17	Pentose and glucuronate interconversions
2.7.1.43	Pentose and glucuronate interconversions; Ascorbate and aldarate metabolism
2.7.1.47	Pentose and glucuronate interconversions
2.7.1.5	Pentose and glucuronate interconversions; Fructose and mannose metabolism
2.7.1.53	Pentose and glucuronate interconversions; Ascorbate and aldarate metabolism
2.7.7.40	Pentose and glucuronate interconversions
2.7.7.44	Pentose and glucuronate interconversions; Ascorbate and aldarate metabolism
2.7.7.64	Pentose and glucuronate interconversions; Galactose metabolism; Ascorbate and aldarate metabolism; Biosynthesis of antibiotics
2.7.7.9	Pentose and glucuronate interconversions; Galactose metabolism; Starch and sucrose metabolism; Biosynthesis of antibiotics
3.1.1.11	Pentose and glucuronate interconversions; Starch and sucrose metabolism
3.1.1.68	Pentose and glucuronate interconversions
3.2.1.15	Pentose and glucuronate interconversions; Starch and sucrose metabolism
3.2.1.31	Pentose and glucuronate interconversions; Starch and sucrose metabolism
3.2.1.67	Pentose and glucuronate interconversions; Starch and sucrose metabolism
4.1.1.34	Pentose and glucuronate interconversions
4.1.1.85	Pentose and glucuronate interconversions; Ascorbate and aldarate metabolism
4.1.2.19	Pentose and glucuronate interconversions; Fructose and mannose metabolism
4.1.2.28	Pentose and glucuronate interconversions
4.1.2.54	Pentose and glucuronate interconversions
4.2.1.141	Pentose and glucuronate interconversions
4.2.1.146	Pentose and glucuronate interconversions
4.2.1.7	Pentose and glucuronate interconversions
4.2.1.8	Pentose and glucuronate interconversions
4.2.1.82	Pentose and glucuronate interconversions
4.2.2.2	Pentose and glucuronate interconversions
4.2.2.6	Pentose and glucuronate interconversions
4.2.2.9	Pentose and glucuronate interconversions
5.-.-.-	Pentose and glucuronate interconversions; Steroid biosynthesis
5.1.3.4	Pentose and glucuronate interconversions; Ascorbate and aldarate metabolism
5.3.1.-	Pentose and glucuronate interconversions; Galactose metabolism
5.3.1.12	Pentose and glucuronate interconversions
5.3.1.15	Pentose and glucuronate interconversions
5.3.1.17	Pentose and glucuronate interconversions
5.3.1.4	Pentose and glucuronate interconversions
5.3.1.5	Pentose and glucuronate interconversions; Fructose and mannose metabolism
1.1.1.122	Fructose and mannose metabolism; Ascorbate and aldarate metabolism; Biosynthesis of secondary metabolites
1.1.1.132	Fructose and mannose metabolism
1.1.1.135	Fructose and mannose metabolism
1.1.1.138	Fructose and mannose metabolism
1.1.1.140	Fructose and mannose metabolism
1.1.1.17	Fructose and mannose metabolism
1.1.1.173	Fructose and mannose metabolism
1.1.1.187	Fructose and mannose metabolism
1.1.1.271	Fructose and mannose metabolism
1.1.1.281	Fructose and mannose metabolism
1.1.1.289	Fructose and mannose metabolism
1.1.1.377	Fructose and mannose metabolism
1.1.1.378	Fructose and mannose metabolism
1.1.1.67	Fructose and mannose metabolism
1.1.99.21	Fructose and mannose metabolism
2.4.1.-	Fructose and mannose metabolism
2.4.1.217	Fructose and mannose metabolism
2.4.1.269	Fructose and mannose metabolism
2.4.1.33	Fructose and mannose metabolism
2.7.1.105	Fructose and mannose metabolism
2.7.1.28	Fructose and mannose metabolism
2.7.1.3	Fructose and mannose metabolism
2.7.1.4	Fructose and mannose metabolism; Starch and sucrose metabolism
2.7.1.51	Fructose and mannose metabolism
2.7.1.52	Fructose and mannose metabolism
2.7.1.55	Fructose and mannose metabolism
2.7.1.56	Fructose and mannose metabolism
2.7.1.7	Fructose and mannose metabolism
2.7.1.90	Fructose and mannose metabolism
2.7.7.13	Fructose and mannose metabolism; Biosynthesis of secondary metabolites
2.7.7.22	Fructose and mannose metabolism
2.7.7.30	Fructose and mannose metabolism
3.1.1.-	Fructose and mannose metabolism; Ascorbate and aldarate metabolism; Terpenoid backbone biosynthesis
3.1.1.65	Fructose and mannose metabolism
3.1.3.-	Fructose and mannose metabolism
3.1.3.22	Fructose and mannose metabolism
3.1.3.46	Fructose and mannose metabolism
3.1.3.54	Fructose and mannose metabolism
3.1.3.70	Fructose and mannose metabolism
3.2.1.137	Fructose and mannose metabolism
3.2.1.77	Fructose and mannose metabolism
3.2.1.78	Fructose and mannose metabolism
3.2.1.80	Fructose and mannose metabolism
3.6.1.21	Fructose and mannose metabolism; Purine metabolism; Starch and sucrose metabolism
3.7.1.-	Fructose and mannose metabolism
4.1.2.17	Fructose and mannose metabolism
4.1.2.53	Fructose and mannose metabolism
4.2.1.47	Fructose and mannose metabolism
4.2.1.68	Fructose and mannose metabolism
4.2.1.90	Fructose and mannose metabolism
4.2.2.11	Fructose and mannose metabolism
4.2.2.3	Fructose and mannose metabolism
5.1.3.-	Fructose and mannose metabolism
5.3.1.14	Fructose and mannose metabolism
5.3.1.25	Fructose and mannose metabolism
5.3.1.7	Fructose and mannose metabolism
5.3.1.8	Fructose and mannose metabolism; Biosynthesis of secondary metabolites
5.4.2.8	Fructose and mannose metabolism; Biosynthesis of secondary metabolites
1.1.1.120	Galactose metabolism
1.1.1.16	Galactose metabolism
1.1.1.251	Galactose metabolism
1.1.1.48	Galactose metabolism
1.1.3.9	Galactose metabolism
2.4.1.123	Galactose metabolism
2.4.1.22	Galactose metabolism
2.4.1.67	Galactose metabolism
2.4.1.82	Galactose metabolism
2.7.1.101	Galactose metabolism
2.7.1.144	Galactose metabolism
2.7.1.58	Galactose metabolism
2.7.1.6	Galactose metabolism
2.7.7.10	Galactose metabolism
2.7.7.12	Galactose metabolism
3.1.1.25	Galactose metabolism; Ascorbate and aldarate metabolism
3.2.1.10	Galactose metabolism; Starch and sucrose metabolism
3.2.1.108	Galactose metabolism
3.2.1.20	Galactose metabolism; Starch and sucrose metabolism
3.2.1.22	Galactose metabolism
3.2.1.23	Galactose metabolism
3.2.1.26	Galactose metabolism; Starch and sucrose metabolism
3.2.1.85	Galactose metabolism
3.5.1.25	Galactose metabolism; Biosynthesis of antibiotics
4.1.2.21	Galactose metabolism
4.1.2.40	Galactose metabolism
4.2.1.6	Galactose metabolism
5.1.3.2	Galactose metabolism
5.3.1.26	Galactose metabolism
5.4.99.9	Galactose metabolism
1.1.1.129	Ascorbate and aldarate metabolism
1.1.1.20	Ascorbate and aldarate metabolism
1.1.1.203	Ascorbate and aldarate metabolism
1.1.1.316	Ascorbate and aldarate metabolism; Biosynthesis of secondary metabolites
1.1.1.376	Ascorbate and aldarate metabolism
1.1.1.46	Ascorbate and aldarate metabolism
1.1.3.8	Ascorbate and aldarate metabolism
1.10.3.3	Ascorbate and aldarate metabolism
1.11.1.11	Ascorbate and aldarate metabolism; Glutathione metabolism
1.13.99.1	Ascorbate and aldarate metabolism
1.14.-.-	Ascorbate and aldarate metabolism; Steroid biosynthesis; Ubiquinone and other terpenoid-quinone biosynthesis; Tetracycline biosynthesis; Tryptophan metabolism
1.2.1.26	Ascorbate and aldarate metabolism
1.3.2.3	Ascorbate and aldarate metabolism; Biosynthesis of secondary metabolites
1.3.3.12	Ascorbate and aldarate metabolism
1.6.5.4	Ascorbate and aldarate metabolism
1.8.5.1	Ascorbate and aldarate metabolism; Glutathione metabolism
2.7.7.69	Ascorbate and aldarate metabolism; Biosynthesis of secondary metabolites
3.1.1.15	Ascorbate and aldarate metabolism
3.1.1.19	Ascorbate and aldarate metabolism
3.1.3.93	Ascorbate and aldarate metabolism; Biosynthesis of secondary metabolites
4.1.1.-	Ascorbate and aldarate metabolism; Purine metabolism; Tyrosine metabolism; Phenylalanine metabolism; Tryptophan metabolism; Pyruvate metabolism
4.1.2.18	Ascorbate and aldarate metabolism
4.1.2.20	Ascorbate and aldarate metabolism
4.2.1.25	Ascorbate and aldarate metabolism
4.2.1.40	Ascorbate and aldarate metabolism
4.2.1.41	Ascorbate and aldarate metabolism
4.2.1.42	Ascorbate and aldarate metabolism
4.2.1.43	Ascorbate and aldarate metabolism
5.1.3.18	Ascorbate and aldarate metabolism; Biosynthesis of secondary metabolites
5.1.3.22	Ascorbate and aldarate metabolism
5.5.1.-	Ascorbate and aldarate metabolism
1.1.1.100	Fatty acid biosynthesis; Biosynthesis of unsaturated fatty acids
1.14.19.2	Fatty acid biosynthesis; Biosynthesis of unsaturated fatty acids
1.3.1.10	Fatty acid biosynthesis
1.3.1.104	Fatty acid biosynthesis
1.3.1.9	Fatty acid biosynthesis
2.3.1.-	Fatty acid biosynthesis; Tetracycline biosynthesis; Lysine degradation; Arginine and proline metabolism; Histidine metabolism; Tyrosine metabolism
2.3.1.179	Fatty acid biosynthesis
2.3.1.180	Fatty acid biosynthesis
2.3.1.39	Fatty acid biosynthesis
2.3.1.41	Fatty acid biosynthesis
2.3.1.85	Fatty acid biosynthesis
2.3.1.86	Fatty acid biosynthesis
3.1.2.14	Fatty acid biosynthesis
3.1.2.21	Fatty acid biosynthesis; Starch and sucrose metabolism
4.2.1.59	Fatty acid biosynthesis
5.3.3.14	Fatty acid biosynthesis
6.2.1.3	Fatty acid biosynthesis; Fatty acid degradation
6.4.1.2	Fatty acid biosynthesis; Tetracycline biosynthesis; Pyruvate metabolism; Biosynthesis of secondary metabolites; Biosynthesis of antibiotics
1.1.1.211	Fatty acid elongation; Fatty acid degradation; Biosynthesis of unsaturated fatty acids
1.1.1.330	Fatty acid elongation; Biosynthesis of unsaturated fatty acids; Biosynthesis of secondary metabolites
1.1.1.35	"Fatty acid elongation; Fatty acid degradation; Primary bile acid biosynthesis; Valine, leucine and isoleucine degradation; Lysine degradation; Tryptophan metabolism; Biosynthesis of secondary metabolites; Biosynthesis of antibiotics"
1.3.1.38	Fatty acid elongation; Biosynthesis of unsaturated fatty acids
1.3.1.8	Fatty acid elongation
1.3.1.93	Fatty acid elongation; Biosynthesis of unsaturated fatty acids; Biosynthesis of secondary metabolites
2.3.1.16	"Fatty acid elongation; Fatty acid degradation; Valine, leucine and isoleucine degradation; Biosynthesis of unsaturated fatty acids; Biosynthesis of secondary metabolites; Biosynthesis of antibiotics"
2.3.1.199	Fatty acid elongation; Biosynthesis of unsaturated fatty acids; Biosynthesis of secondary metabolites
3.1.2.2	Fatty acid elongation; Biosynthesis of unsaturated fatty acids; Biosynthesis of secondary metabolites
3.1.2.22	Fatty acid elongation
4.2.1.134	Fatty acid elongation; Biosynthesis of unsaturated fatty acids; Biosynthesis of secondary metabolites
4.2.1.17	"Fatty acid elongation; Fatty acid degradation; Valine, leucine and isoleucine degradation; Lysine degradation; Phenylalanine metabolism; Tryptophan metabolism; Biosynthesis of unsaturated fatty acids; Biosynthesis of secondary metabolites; Biosynthesis of antibiotics"
4.2.1.74	Fatty acid elongation; Fatty acid degradation
1.1.1.192	Fatty acid degradation
1.1.99.20	Fatty acid degradation
1.14.14.1	Fatty acid degradation; Tryptophan metabolism; Biosynthesis of secondary metabolites
1.14.15.3	Fatty acid degradation
1.18.1.1	Fatty acid degradation
1.18.1.3	Fatty acid degradation
1.18.1.4	Fatty acid degradation
1.2.1.48	Fatty acid degradation
1.2.5.2	Fatty acid degradation; Pyruvate metabolism
1.3.3.6	Fatty acid degradation; Biosynthesis of unsaturated fatty acids; Biosynthesis of secondary metabolites
1.3.8.1	"Fatty acid degradation; Valine, leucine and isoleucine degradation; Biosynthesis of secondary metabolites"
1.3.8.6	Fatty acid degradation; Lysine degradation; Tryptophan metabolism; Biosynthesis of antibiotics
1.3.8.7	"Fatty acid degradation; Valine, leucine and isoleucine degradation; Biosynthesis of secondary metabolites; Biosynthesis of antibiotics"
1.3.8.8	Fatty acid degradation
1.3.8.9	Fatty acid degradation
1.3.99.-	"Fatty acid degradation; Valine, leucine and isoleucine degradation"
2.3.1.21	Fatty acid degradation
2.3.1.9	"Fatty acid degradation; Valine, leucine and isoleucine degradation; Lysine degradation; Tryptophan metabolism; Pyruvate metabolism; Glyoxylate and dicarboxylate metabolism; Terpenoid backbone biosynthesis; Biosynthesis of secondary metabolites; Biosynthesis of antibiotics"
5.1.2.3	Fatty acid degradation
5.3.3.8	Fatty acid degradation
6.2.1.20	Fatty acid degradation
6.2.1.6	Fatty acid degradation; Lysine degradation
1.1.1.170	Steroid biosynthesis; Biosynthesis of antibiotics
1.1.1.270	Steroid biosynthesis; Biosynthesis of antibiotics
1.14.13.126	Steroid biosynthesis
1.14.13.13	Steroid biosynthesis
1.14.13.132	Steroid biosynthesis; Biosynthesis of secondary metabolites; Biosynthesis of antibiotics
1.14.13.159	Steroid biosynthesis
1.14.13.70	Steroid biosynthesis; Biosynthesis of secondary metabolites; Biosynthesis of antibiotics
1.14.13.72	Steroid biosynthesis; Biosynthesis of secondary metabolites; Biosynthesis of antibiotics
1.14.19.20	Steroid biosynthesis; Biosynthesis of secondary metabolites; Biosynthesis of antibiotics
1.3.1.21	Steroid biosynthesis; Biosynthesis of secondary metabolites
1.3.1.70	Steroid biosynthesis; Biosynthesis of secondary metabolites; Biosynthesis of antibiotics
1.3.1.71	Steroid biosynthesis; Biosynthesis of antibiotics
1.3.1.72	Steroid biosynthesis; Biosynthesis of secondary metabolites
2.1.1.143	Steroid biosynthesis; Biosynthesis of secondary metabolites
2.1.1.41	Steroid biosynthesis; Biosynthesis of secondary metabolites; Biosynthesis of antibiotics
2.3.1.26	Steroid biosynthesis
2.3.1.73	Steroid biosynthesis
2.5.1.21	Steroid biosynthesis; Biosynthesis of secondary metabolites; Biosynthesis of antibiotics
3.1.1.13	Steroid biosynthesis
5.3.3.5	Steroid biosynthesis; Biosynthesis of secondary metabolites
5.4.99.7	Steroid biosynthesis; Biosynthesis of secondary metabolites; Biosynthesis of antibiotics
5.4.99.8	Steroid biosynthesis; Biosynthesis of secondary metabolites
5.5.1.9	Steroid biosynthesis; Biosynthesis of secondary metabolites
1.1.1.181	Primary bile acid biosynthesis
1.1.1.50	Primary bile acid biosynthesis
1.14.13.100	Primary bile acid biosynthesis
1.14.13.15	Primary bile acid biosynthesis
1.14.13.17	Primary bile acid biosynthesis
1.14.13.95	Primary bile acid biosynthesis
1.14.13.98	Primary bile acid biosynthesis
1.14.13.99	Primary bile acid biosynthesis
1.14.99.38	Primary bile acid biosynthesis
1.17.99.3	Primary bile acid biosynthesis
1.3.1.3	Primary bile acid biosynthesis
2.3.1.176	Primary bile acid biosynthesis
2.3.1.65	Primary bile acid biosynthesis
3.1.2.27	Primary bile acid biosynthesis
3.5.1.24	Primary bile acid biosynthesis
4.2.1.107	Primary bile acid biosynthesis
5.1.99.4	Primary bile acid biosynthesis
6.2.1.7	Primary bile acid biosynthesis
1.1.1.237	Ubiquinone and other terpenoid-quinone biosynthesis; Tyrosine metabolism; Phenylalanine metabolism; Biosynthesis of secondary metabolites
