Query_label	Target_label	%identity	aligment_length	#mismatches	#gap_opens	start_Q	end_Q	start_T	end_T	E_value	Bit_score
sp|Q9M3B9|AB20B_ARATH	sp|P08183|MDR1_HUMAN	32.67	606	396	5	55	654	679	1278	3e-92	 326
sp|Q9LVM1|AB25B_ARATH	sp|O75027|ABCB7_HUMAN	55.27	617	264	4	112	722	106	716	0.0	 691
sp|Q6ZDE3|ABAH2_ORYSJ	sp|Q9NR63|CP26B_HUMAN	28.57	504	338	10	5	497	6	498	2e-46	 171
sp|P57752|ACBP6_ARATH	sp|P07108|ACBP_HUMAN	50.65	77	38	0	6	82	5	81	3e-22	84.7
sp|Q39315|ACBP_BRANA	sp|P07108|ACBP_HUMAN	50.65	77	38	0	6	82	5	81	6e-24	89.0
sp|O22643|ACBP_FRIAG	sp|P07108|ACBP_HUMAN	49.35	77	39	0	6	82	5	81	8e-20	78.2
sp|Q39779|ACBP_GOSHI	sp|P07108|ACBP_HUMAN	55.84	77	34	0	6	82	5	81	2e-25	92.8
sp|O04066|ACBP_RICCO	sp|P07108|ACBP_HUMAN	49.35	77	39	0	6	82	5	81	8e-22	83.6
sp|P53665|ACPM1_ARATH	sp|O14561|ACPM_HUMAN	49.33	75	38	0	41	115	74	148	5e-18	76.3
sp|O80800|ACPM2_ARATH	sp|O14561|ACPM_HUMAN	53.52	71	33	0	50	120	79	149	7e-21	84.0
sp|O19921|ACP_CYACA	sp|O14561|ACPM_HUMAN	54.24	59	27	0	21	79	93	151	1e-15	68.2
sp|Q85FZ0|ACP_CYAME	sp|O14561|ACPM_HUMAN	43.04	79	45	0	1	79	74	152	7e-15	66.6
sp|P29189|ACP_GUITH	sp|O14561|ACPM_HUMAN	44.07	59	33	0	20	78	93	151	7e-12	57.8
sp|A0T0F8|ACP_PHATC	sp|O14561|ACPM_HUMAN	44.64	56	31	0	18	73	93	148	8e-11	54.7
sp|P30170|ACT10_SOLTU	sp|P63261|ACTG_HUMAN	96.41	195	7	0	1	195	19	213	3e-140	 400
sp|P53496|ACT11_ARATH	sp|P63261|ACTG_HUMAN	90.35	373	36	0	5	377	3	375	0.0	 721
sp|P30171|ACT11_SOLTU	sp|P60709|ACTB_HUMAN	89.54	373	39	0	5	377	3	375	0.0	 716
sp|P53497|ACT12_ARATH	sp|P63261|ACTG_HUMAN	89.01	373	41	0	5	377	3	375	0.0	 707
sp|P30172|ACT12_SOLTU	sp|P63261|ACTG_HUMAN	90.48	357	34	0	1	357	19	375	0.0	 690
sp|P30173|ACT13_SOLTU	sp|P68032|ACTC_HUMAN	87.80	377	46	0	1	377	1	377	0.0	 711
sp|P0CJ46|ACT1_ARATH	sp|P68032|ACTC_HUMAN	88.33	377	44	0	1	377	1	377	0.0	 716
sp|P23343|ACT1_DAUCA	sp|P68032|ACTC_HUMAN	84.39	378	57	2	1	377	1	377	0.0	 675
sp|A2XLF2|ACT1_ORYSI	sp|P60709|ACTB_HUMAN	90.62	373	35	0	5	377	3	375	0.0	 723
sp|Q10DV7|ACT1_ORYSJ	sp|P60709|ACTB_HUMAN	90.62	373	35	0	5	377	3	375	0.0	 723
sp|P22131|ACT1_PHYIN	sp|P60709|ACTB_HUMAN	87.97	374	45	0	3	376	2	375	0.0	 704
sp|P85911|ACT1_PSEMZ	sp|P60709|ACTB_HUMAN	97.78	45	1	0	1	45	69	113	4e-29	 105
sp|Q96482|ACT1_SOLLC	sp|P63261|ACTG_HUMAN	89.88	336	34	0	1	336	19	354	0.0	 648
sp|P53504|ACT1_SORBI	sp|P60709|ACTB_HUMAN	88.74	373	42	0	5	377	3	375	0.0	 707
sp|P02581|ACT1_SOYBN	sp|P63261|ACTG_HUMAN	82.31	373	66	0	5	377	3	375	0.0	 658
sp|Q05214|ACT1_TOBAC	sp|P60709|ACTB_HUMAN	89.81	373	38	0	5	377	3	375	0.0	 716
sp|Q96292|ACT2_ARATH	sp|P60709|ACTB_HUMAN	87.67	373	46	0	5	377	3	375	0.0	 707
sp|P0C539|ACT2_ORYSI	sp|P68032|ACTC_HUMAN	87.53	377	47	0	1	377	1	377	0.0	 709
sp|A3C6D7|ACT2_ORYSJ	sp|P68032|ACTC_HUMAN	87.53	377	47	0	1	377	1	377	0.0	 709
sp|P22132|ACT2_PHYIN	sp|P60709|ACTB_HUMAN	82.13	375	67	0	1	375	1	375	0.0	 672
sp|Q96483|ACT2_SOLLC	sp|P63261|ACTG_HUMAN	90.18	336	33	0	1	336	19	354	0.0	 642
sp|P93586|ACT2_SOLTU	sp|P60709|ACTB_HUMAN	87.80	336	41	0	1	336	19	354	0.0	 634
sp|P93374|ACT2_TOBAC	sp|P63261|ACTG_HUMAN	88.10	336	40	0	1	336	19	354	0.0	 638
sp|P0CJ47|ACT3_ARATH	sp|P68032|ACTC_HUMAN	88.33	377	44	0	1	377	1	377	0.0	 716
sp|A2XNS1|ACT3_ORYSI	sp|P63261|ACTG_HUMAN	90.62	373	35	0	5	377	3	375	0.0	 716
sp|Q10AZ4|ACT3_ORYSJ	sp|P63261|ACTG_HUMAN	90.62	373	35	0	5	377	3	375	0.0	 716
sp|P46258|ACT3_PEA	sp|P60709|ACTB_HUMAN	88.74	373	42	0	5	377	3	375	0.0	 708
sp|Q96484|ACT3_SOLLC	sp|P63261|ACTG_HUMAN	90.48	336	32	0	1	336	19	354	0.0	 648
sp|P30167|ACT3_SOLTU	sp|P60709|ACTB_HUMAN	89.54	373	39	0	5	377	3	375	0.0	 716
sp|P53494|ACT4_ARATH	sp|P63261|ACTG_HUMAN	89.28	373	40	0	5	377	3	375	0.0	 709
sp|Q96481|ACT4_SOLLC	sp|P63261|ACTG_HUMAN	85.71	336	48	0	1	336	19	354	0.0	 620
sp|P93372|ACT4_TOBAC	sp|P63261|ACTG_HUMAN	90.77	336	31	0	1	336	19	354	0.0	 650
sp|Q8RYC2|ACT5_ARATH	sp|P68133|ACTS_HUMAN	79.36	373	77	0	6	378	5	377	0.0	 660
sp|P81228|ACT5_SOLTU	sp|P60709|ACTB_HUMAN	91.37	336	29	0	1	336	19	354	0.0	 655
sp|P93371|ACT5_TOBAC	sp|P60709|ACTB_HUMAN	90.18	336	33	0	1	336	19	354	0.0	 647
sp|P30168|ACT6_SOLTU	sp|P68032|ACTC_HUMAN	85.41	377	55	0	1	377	1	377	0.0	 698
sp|P93376|ACT6_TOBAC	sp|P63261|ACTG_HUMAN	89.88	336	34	0	1	336	19	354	0.0	 641
sp|P53492|ACT7_ARATH	sp|P60709|ACTB_HUMAN	90.08	373	37	0	5	377	3	375	0.0	 713
sp|P0C542|ACT7_ORYSI	sp|P63261|ACTG_HUMAN	88.50	374	43	0	3	376	2	375	0.0	 703
sp|P0C540|ACT7_ORYSJ	sp|P63261|ACTG_HUMAN	88.50	374	43	0	3	376	2	375	0.0	 703
sp|P30169|ACT7_SOLTU	sp|P60709|ACTB_HUMAN	81.50	373	69	0	5	377	3	375	0.0	 647
sp|P93375|ACT7_TOBAC	sp|P63261|ACTG_HUMAN	91.37	336	29	0	1	336	19	354	0.0	 654
sp|Q96293|ACT8_ARATH	sp|P60709|ACTB_HUMAN	87.67	373	46	0	5	377	3	375	0.0	 707
sp|P81229|ACT8_SOLTU	sp|P63261|ACTG_HUMAN	91.07	336	30	0	1	336	19	354	0.0	 652
sp|P93584|ACT9_SOLTU	sp|P63261|ACTG_HUMAN	91.07	336	30	0	1	336	19	354	0.0	 652
sp|P26182|ACT_ACHBI	sp|P60709|ACTB_HUMAN	87.43	374	47	0	3	376	2	375	0.0	 704
sp|Q39596|ACT_CHERU	sp|P63261|ACTG_HUMAN	96.47	85	3	0	1	85	84	168	3e-55	 177
sp|P53498|ACT_CHLRE	sp|P63261|ACTG_HUMAN	91.44	374	32	0	4	377	2	375	0.0	 728
sp|P53499|ACT_CHOCR	sp|P63261|ACTG_HUMAN	74.80	369	93	0	5	373	7	375	0.0	 617
sp|O65315|ACT_COLSC	sp|P68032|ACTC_HUMAN	90.72	377	35	0	1	377	1	377	0.0	 732
sp|P30161|ACT_COSCS	sp|P63261|ACTG_HUMAN	88.52	331	38	0	1	331	45	375	0.0	 625
sp|Q39758|ACT_FUCVE	sp|P60709|ACTB_HUMAN	88.24	374	44	0	3	376	2	375	0.0	 705
sp|O81221|ACT_GOSHI	sp|P60709|ACTB_HUMAN	89.54	373	39	0	5	377	3	375	0.0	 714
sp|O65316|ACT_MESVI	sp|P68133|ACTS_HUMAN	89.39	377	40	0	1	377	1	377	0.0	 724
sp|P13363|ACT_PHYME	sp|P60709|ACTB_HUMAN	82.67	375	65	0	1	375	1	375	0.0	 674
sp|P24902|ACT_PINCO	sp|P63261|ACTG_HUMAN	82.61	161	28	0	1	161	215	375	4e-98	 291
sp|O65314|ACT_SCHDU	sp|P63261|ACTG_HUMAN	88.98	372	41	0	7	378	4	375	0.0	 712
sp|P20904|ACT_VOLCA	sp|P63261|ACTG_HUMAN	91.71	374	31	0	4	377	2	375	0.0	 729
sp|Q9FVI1|ADF2_PETHY	sp|P60981|DEST_HUMAN	40.74	108	62	2	34	140	48	154	1e-21	86.7
sp|Q67ZM4|ADF7_ARATH	sp|P23528|COF1_HUMAN	42.05	88	49	2	35	121	51	137	5e-18	77.0
sp|P30174|ADF_BRANA	sp|P23528|COF1_HUMAN	40.91	88	50	2	24	110	51	137	2e-17	75.1
sp|P30175|ADF_LILLO	sp|P23528|COF1_HUMAN	40.66	91	52	2	34	123	48	137	1e-17	75.9
sp|O22342|ADT1_GOSHI	sp|P05141|ADT2_HUMAN	56.23	297	114	6	85	373	7	295	3e-99	 300
sp|P04709|ADT1_MAIZE	sp|P12235|ADT1_HUMAN	55.22	297	117	6	86	374	7	295	3e-99	 300
sp|P25083|ADT1_SOLTU	sp|P05141|ADT2_HUMAN	55.56	297	116	6	85	373	7	295	6e-97	 294
sp|Q41629|ADT1_WHEAT	sp|P12235|ADT1_HUMAN	55.29	293	123	5	30	318	7	295	5e-98	 295
sp|P12857|ADT2_MAIZE	sp|P12235|ADT1_HUMAN	55.22	297	117	6	86	374	7	295	3e-98	 298
sp|Q41630|ADT2_WHEAT	sp|P12235|ADT1_HUMAN	54.61	293	125	5	30	318	7	295	3e-96	 291
sp|O49447|ADT3_ARATH	sp|P12235|ADT1_HUMAN	54.05	296	126	6	79	369	8	298	1e-96	 293
sp|P27080|ADT_CHLRE	sp|P12235|ADT1_HUMAN	53.33	300	130	5	1	295	1	295	2e-103	 308
sp|P31691|ADT_ORYSJ	sp|P12235|ADT1_HUMAN	55.29	293	123	5	81	369	7	295	2e-98	 298
sp|Q38836|AGL11_ARATH	sp|Q02080|MEF2B_HUMAN	56.52	69	30	0	1	69	1	69	6e-21	89.7
sp|Q38837|AGL13_ARATH	sp|Q02080|MEF2B_HUMAN	50.72	69	34	0	1	69	1	69	3e-18	82.4
sp|Q38838|AGL14_ARATH	sp|Q14814|MEF2D_HUMAN	55.00	60	27	0	1	60	1	60	3e-15	73.9
sp|Q38847|AGL15_ARATH	sp|Q02078|MEF2A_HUMAN	50.57	87	43	0	1	87	1	87	4e-22	95.5
sp|Q39295|AGL15_BRANA	sp|Q14814|MEF2D_HUMAN	59.72	72	29	0	1	72	1	72	5e-23	98.2
sp|Q38840|AGL17_ARATH	sp|Q14814|MEF2D_HUMAN	50.72	69	34	0	1	69	1	69	2e-17	80.9
sp|O82743|AGL19_ARATH	sp|Q14814|MEF2D_HUMAN	47.83	69	36	0	1	69	1	69	6e-16	76.3
sp|P29381|AGL1_ARATH	sp|Q02078|MEF2A_HUMAN	53.62	69	32	0	16	84	1	69	2e-19	87.4
sp|Q9SZJ6|AGL21_ARATH	sp|Q06413|MEF2C_HUMAN	57.97	69	29	0	1	69	1	69	1e-19	87.0
sp|O82794|AGL24_ARATH	sp|Q06413|MEF2C_HUMAN	52.86	70	33	0	1	70	1	70	7e-18	81.6
sp|P29385|AGL5_ARATH	sp|Q02078|MEF2A_HUMAN	53.62	69	32	0	16	84	1	69	2e-19	87.0
sp|Q4PSU4|AGL61_ARATH	sp|Q02078|MEF2A_HUMAN	43.84	73	41	0	62	134	1	73	1e-12	66.6
sp|P17839|AG_ARATH	sp|Q02078|MEF2A_HUMAN	54.41	68	31	0	18	85	2	69	4e-19	86.3
sp|Q01540|AG_BRANA	sp|Q02080|MEF2B_HUMAN	55.88	68	30	0	18	85	2	69	4e-19	85.1
sp|Q40872|AG_PANGI	sp|Q02080|MEF2B_HUMAN	55.07	69	31	0	17	85	1	69	3e-19	85.1
sp|Q40885|AG_PETHY	sp|Q02080|MEF2B_HUMAN	56.52	69	30	0	17	85	1	69	8e-20	86.7
sp|Q40168|AG_SOLLC	sp|Q02080|MEF2B_HUMAN	53.62	69	32	0	17	85	1	69	3e-19	85.1
sp|Q43585|AG_TOBAC	sp|Q02080|MEF2B_HUMAN	56.52	69	30	0	17	85	1	69	8e-20	87.0
sp|Q9SAR5|AKR2_ARATH	sp|Q9H765|ASB8_HUMAN	44.05	84	47	0	238	321	105	188	5e-12	65.5
sp|Q05753|AKRP_ARATH	sp|O75832|PSD10_HUMAN	33.96	106	70	0	291	396	5	110	4e-13	68.6
sp|Q9ZPB7|AL7A1_MALDO	sp|P49419|AL7A1_HUMAN	59.33	504	203	2	5	507	36	538	0.0	 626
sp|P25795|AL7A1_PEA	sp|P49419|AL7A1_HUMAN	60.52	499	195	2	10	507	41	538	0.0	 629
sp|Q9SYG7|AL7B4_ARATH	sp|P49419|AL7A1_HUMAN	59.96	502	199	2	7	507	38	538	0.0	 636
sp|Q8RWQ9|ALEUL_ARATH	sp|P09668|CATH_HUMAN	52.82	301	136	6	59	356	35	332	8e-104	 312
sp|Q8H166|ALEU_ARATH	sp|P09668|CATH_HUMAN	49.04	312	155	4	47	356	23	332	6e-100	 302
sp|Q9M7R0|ALL8_OLEEU	sp|P27482|CALL3_HUMAN	36.36	77	49	0	95	171	11	87	1e-10	56.6
sp|Q9FV52|AMP1B_ARATH	sp|Q6UB28|MAP12_HUMAN	53.56	267	124	0	102	368	64	330	2e-95	 291
sp|Q9FV50|AMP1D_ARATH	sp|Q6UB28|MAP12_HUMAN	52.90	276	130	0	74	349	55	330	1e-91	 281
sp|Q6YSF3|AN321_ORYSJ	sp|P39687|AN32A_HUMAN	45.00	120	64	2	49	167	41	159	4e-18	84.0
sp|Q9SCQ7|AN32_ARATH	sp|Q92688|AN32B_HUMAN	46.67	120	62	2	47	165	41	159	6e-16	77.4
sp|O82210|ANM12_ARATH	sp|Q99873|ANM1_HUMAN	58.54	328	136	0	39	366	34	361	6e-144	 416
sp|A2Z0C0|ANM1_ORYSI	sp|Q99873|ANM1_HUMAN	58.77	342	141	0	46	387	20	361	3e-147	 425
sp|Q0J2C6|ANM1_ORYSJ	sp|Q99873|ANM1_HUMAN	58.77	342	141	0	46	387	20	361	3e-147	 425
sp|Q9XEE2|ANXD2_ARATH	sp|P27216|ANX13_HUMAN	38.13	299	181	3	16	312	19	315	3e-56	 187
sp|Q9C9X3|ANXD5_ARATH	sp|P09525|ANXA4_HUMAN	39.33	300	182	0	16	315	19	318	3e-69	 221
sp|Q8LEZ8|AP1S1_ARATH	sp|P56377|AP1S2_HUMAN	59.74	154	62	0	2	155	1	154	1e-64	 198
sp|O23685|AP1S2_ARATH	sp|P56377|AP1S2_HUMAN	59.74	154	62	0	2	155	1	154	2e-64	 197
sp|Q8LPK4|AP2A2_ARATH	sp|O95782|AP2A1_HUMAN	36.98	1014	549	18	3	971	9	977	0.0	 635
sp|Q84WL9|AP2S_ARATH	sp|P53680|AP2S1_HUMAN	61.27	142	55	0	1	142	1	142	1e-60	 187
sp|P35632|AP3_ARATH	sp|Q02080|MEF2B_HUMAN	57.63	59	25	0	1	59	1	59	1e-17	80.1
sp|O82201|AP4S_ARATH	sp|Q9Y587|AP4S1_HUMAN	56.83	139	60	0	3	141	2	140	5e-60	 185
sp|Q9M9L0|APC11_ARATH	sp|Q9NYG5|APC11_HUMAN	71.43	84	24	0	1	84	1	84	2e-42	 135
sp|O48707|ARD1_ARATH	sp|Q9BV57|MTND_HUMAN	62.43	173	65	0	12	184	1	173	4e-79	 237
sp|A2Z7C4|ARD1_ORYSI	sp|Q9BV57|MTND_HUMAN	56.74	178	77	0	12	189	1	178	5e-74	 224
sp|A1L4T4|ARD1_ORYSJ	sp|Q9BV57|MTND_HUMAN	56.74	178	77	0	12	189	1	178	5e-74	 224
sp|Q8GXE2|ARD2_ARATH	sp|Q9BV57|MTND_HUMAN	62.79	172	64	0	12	183	1	172	4e-79	 237
sp|A2XCT8|ARD2_ORYSI	sp|Q9BV57|MTND_HUMAN	61.27	173	67	0	12	184	1	173	1e-77	 233
sp|Q10RE5|ARD2_ORYSJ	sp|Q9BV57|MTND_HUMAN	61.27	173	67	0	12	184	1	173	1e-77	 233
sp|Q8W108|ARD3_ARATH	sp|Q9BV57|MTND_HUMAN	62.21	172	65	0	12	183	1	172	2e-78	 235
sp|Q8H185|ARD4_ARATH	sp|Q9BV57|MTND_HUMAN	58.29	175	73	0	3	177	2	176	2e-73	 222
sp|Q7XEJ5|ARD4_ORYSJ	sp|Q9BV57|MTND_HUMAN	62.75	153	57	0	19	171	21	173	1e-66	 204
sp|P36397|ARF1_ARATH	sp|P84077|ARF1_HUMAN	88.33	180	21	0	1	180	1	180	2e-115	 329
sp|Q96361|ARF1_BRARP	sp|P84077|ARF1_HUMAN	59.78	179	72	0	1	179	1	179	7e-80	 239
sp|O23778|ARF1_CATRO	sp|P84077|ARF1_HUMAN	86.67	180	24	0	1	180	1	180	6e-113	 323
sp|P51821|ARF1_CHLRE	sp|P61204|ARF3_HUMAN	89.44	180	19	0	1	180	1	180	8e-116	 330
sp|P51822|ARF1_DAUCA	sp|P84077|ARF1_HUMAN	87.78	180	22	0	1	180	1	180	1e-114	 327
sp|Q06396|ARF1_ORYSJ	sp|P84077|ARF1_HUMAN	88.89	180	20	0	1	180	1	180	3e-116	 331
sp|O48649|ARF1_SALBA	sp|P61204|ARF3_HUMAN	87.78	180	22	0	1	180	1	180	2e-114	 327
sp|P51824|ARF1_SOLTU	sp|P84077|ARF1_HUMAN	92.27	181	14	0	1	181	1	181	2e-122	 347
sp|Q9SRC3|ARF2_ARATH	sp|P84077|ARF1_HUMAN	90.40	177	17	0	1	177	1	177	7e-116	 330
sp|P51823|ARF2_ORYSJ	sp|P84077|ARF1_HUMAN	89.44	180	19	0	1	180	1	180	6e-117	 333
sp|P40940|ARF3_ARATH	sp|P84077|ARF1_HUMAN	60.34	179	71	0	1	179	1	179	2e-80	 240
sp|Q9SHU5|ARF4_ARATH	sp|P61204|ARF3_HUMAN	66.67	180	60	0	1	180	1	180	3e-86	 256
sp|P49076|ARF_MAIZE	sp|P84077|ARF1_HUMAN	88.14	177	21	0	1	177	1	177	2e-113	 323
sp|O48920|ARF_VIGUN	sp|P84077|ARF1_HUMAN	87.78	180	22	0	1	180	1	180	6e-115	 328
sp|Q8L829|ARI5_ARATH	sp|Q9Y4X5|ARI1_HUMAN	31.29	425	268	9	55	467	101	513	1e-64	 223
sp|A2WKK5|ARP5_ORYSI	sp|Q9H9F9|ARP5_HUMAN	30.45	266	161	9	1	254	148	401	9e-15	77.0
sp|A2ZP58|ARP5_ORYSJ	sp|Q9H9F9|ARP5_HUMAN	30.45	266	161	9	1	254	148	401	9e-15	77.0
sp|O80931|AS1_ARATH	sp|P10242|MYB_HUMAN	32.00	125	79	2	7	128	95	216	5e-16	79.3
sp|Q9LS09|ASF1B_ARATH	sp|Q9Y294|ASF1A_HUMAN	60.38	159	63	0	1	159	1	159	5e-67	 208
sp|P42211|ASPRX_ORYSJ	sp|P07339|CATD_HUMAN	49.46	93	47	0	404	496	318	410	3e-27	 113
sp|O04057|ASPR_CUCPE	sp|P07339|CATD_HUMAN	51.61	93	45	0	421	513	318	410	2e-25	 107
sp|Q8LEM4|ATG8A_ARATH	sp|P60520|GBRL2_HUMAN	60.00	115	46	0	3	117	2	116	2e-47	 151
sp|Q2XPP5|ATG8A_ORYSI	sp|P60520|GBRL2_HUMAN	59.82	112	45	0	6	117	5	116	2e-46	 149
sp|Q69RC4|ATG8A_ORYSJ	sp|P60520|GBRL2_HUMAN	59.82	112	45	0	6	117	5	116	2e-46	 149
sp|Q9XEB5|ATG8B_ARATH	sp|P60520|GBRL2_HUMAN	60.00	115	46	0	3	117	2	116	2e-47	 151
sp|A2XXR7|ATG8B_ORYSI	sp|P60520|GBRL2_HUMAN	60.34	116	46	0	3	118	2	117	4e-48	 152
sp|Q7XPR1|ATG8B_ORYSJ	sp|P60520|GBRL2_HUMAN	60.34	116	46	0	3	118	2	117	4e-48	 152
sp|Q8S927|ATG8C_ARATH	sp|P60520|GBRL2_HUMAN	58.41	113	47	0	6	118	5	117	8e-48	 152
sp|A2YS06|ATG8C_ORYSI	sp|P60520|GBRL2_HUMAN	61.06	113	44	0	6	118	5	117	2e-48	 154
sp|Q6Z1D5|ATG8C_ORYSJ	sp|P60520|GBRL2_HUMAN	61.06	113	44	0	6	118	5	117	2e-48	 154
sp|Q9SL04|ATG8D_ARATH	sp|P60520|GBRL2_HUMAN	58.93	112	46	0	6	117	5	116	3e-47	 150
sp|Q8S926|ATG8E_ARATH	sp|P60520|GBRL2_HUMAN	60.18	113	45	0	6	118	4	116	1e-47	 152
sp|Q8VYK7|ATG8F_ARATH	sp|P60520|GBRL2_HUMAN	62.07	116	44	0	3	118	2	117	7e-50	 157
sp|Q9LZZ9|ATG8G_ARATH	sp|P60520|GBRL2_HUMAN	60.71	112	44	0	6	117	5	116	6e-47	 150
sp|Q8S925|ATG8H_ARATH	sp|P60520|GBRL2_HUMAN	51.79	112	54	0	8	119	5	116	2e-36	 123
sp|Q9LRP7|ATG8I_ARATH	sp|P60520|GBRL2_HUMAN	48.21	112	58	0	4	115	5	116	1e-35	 121
sp|Q8H715|ATG8_PHYIN	sp|O95166|GBRAP_HUMAN	60.71	112	44	0	4	115	5	116	5e-48	 152
sp|Q9SK92|ATL15_ARATH	sp|Q9BV68|RN126_HUMAN	31.85	157	89	6	31	178	138	285	1e-12	67.8
sp|Q8L9T5|ATL2_ARATH	sp|Q86XS8|GOLI_HUMAN	24.61	191	110	5	33	206	194	367	2e-13	69.7
sp|Q9C7I1|ATL34_ARATH	sp|O43567|RNF13_HUMAN	46.88	64	32	2	116	178	228	290	6e-13	68.6
sp|Q9LF64|ATL52_ARATH	sp|Q9H0F5|RNF38_HUMAN	34.04	94	60	2	99	191	419	511	5e-14	72.8
sp|Q9SJJ7|ATL57_ARATH	sp|Q7L0R7|RNF44_HUMAN	43.06	72	39	2	114	184	353	423	1e-14	72.4
sp|P14571|ATP9_BETVU	sp|P48201|AT5G3_HUMAN	71.01	69	20	0	5	73	73	141	2e-23	89.4
sp|P60113|ATP9_BRANA	sp|Q06055|AT5G2_HUMAN	67.65	68	22	0	5	72	72	139	1e-21	84.0
sp|P48880|ATP9_CHOCR	sp|Q06055|AT5G2_HUMAN	73.53	68	18	0	8	75	72	139	3e-29	 103
sp|P17254|ATP9_HELAN	sp|Q06055|AT5G2_HUMAN	62.12	66	25	0	5	70	72	137	5e-18	74.7
sp|P00840|ATP9_MAIZE	sp|Q06055|AT5G2_HUMAN	70.59	68	20	0	5	72	72	139	4e-25	92.8
sp|Q37550|ATP9_MALDO	sp|Q06055|AT5G2_HUMAN	65.15	66	23	0	5	70	72	137	8e-20	79.3
sp|P26855|ATP9_MARPO	sp|Q06055|AT5G2_HUMAN	70.59	68	20	0	5	72	72	139	4e-25	92.8
sp|P60115|ATP9_OENBI	sp|Q06055|AT5G2_HUMAN	69.12	68	21	0	5	72	72	139	2e-24	91.3
sp|P0C518|ATP9_ORYSI	sp|Q06055|AT5G2_HUMAN	70.59	68	20	0	5	72	72	139	4e-25	92.8
sp|P0C519|ATP9_ORYSJ	sp|Q06055|AT5G2_HUMAN	70.59	68	20	0	5	72	72	139	4e-25	92.8
sp|P69420|ATP9_PEA	sp|Q06055|AT5G2_HUMAN	70.59	68	20	0	5	72	72	139	4e-24	90.1
sp|P60118|ATP9_PETHY	sp|Q06055|AT5G2_HUMAN	67.65	68	22	0	5	72	72	139	2e-23	88.2
sp|Q07060|ATP9_PETSP	sp|Q06055|AT5G2_HUMAN	61.76	68	26	0	5	72	72	139	1e-17	73.2
sp|P60117|ATP9_SOLLC	sp|Q06055|AT5G2_HUMAN	67.65	68	22	0	5	72	72	139	2e-23	88.2
sp|P60114|ATP9_SOLTU	sp|Q06055|AT5G2_HUMAN	69.12	68	21	0	5	72	72	139	2e-24	91.3
sp|P69421|ATP9_SOYBN	sp|Q06055|AT5G2_HUMAN	70.59	68	20	0	5	72	72	139	4e-24	90.1
sp|P60116|ATP9_TOBAC	sp|Q06055|AT5G2_HUMAN	67.65	68	22	0	5	72	72	139	2e-23	88.2
sp|P69422|ATP9_VICFA	sp|Q06055|AT5G2_HUMAN	70.59	68	20	0	5	72	72	139	4e-24	90.1
sp|P13547|ATP9_WHEAT	sp|Q06055|AT5G2_HUMAN	70.59	68	20	0	5	72	72	139	4e-25	92.8
